ID,严重度,模块,问题,代码证据,影响,修复方向,阶段
GW-P1-001,P1 高,SingleFlight,检查和注册不是同一原子操作,SingleFlight 先锁查询，释放后调用 factory，再锁写入,并发相同请求仍可能重复调用云端；第一请求取消会影响共享任务,"ConcurrentDictionary<string, Lazy<Task<Result>>> GetOrAdd；共享任务独立于单调用取消",R5
GW-P1-002,P1 高,Gateway,请求大小、并发、缓存字节上限没有执行,MaxRequestSizeBytes 未使用；fire-and-forget HandleRequest；缓存只限制 10k 条不限制 bytes,本地 DoS、内存爆炸、无法优雅停止,ASP.NET Core/Kestrel 独立进程；body limit、concurrency semaphore、byte LRU、shutdown tracking,R5
GW-P1-003,P1 高,Gateway,没有流式转发、Header 保留和真实 Usage,stream 请求被判不可缓存但仍通过 ReadAsString 非流式；模型/Token 永远为 model/0；/models 无认证,无法兼容主流 Coding Agent，统计无意义,实现 SSE 流透传、断连取消、header allowlist、usage parser、endpoint/provider-aware hashing,R5
PROV-P1-001,P1 高,Provider,Provider/路由/预算主要是数据模型占位,ListModelsAsync 读取后直接 return []；Stream 被忽略；RoutingConfig/BudgetLimit 无执行器,README 中多 Provider 与预算能力未完成,拆成 Optional Providers 项目；先完成一个严格 OpenAI-compatible provider，再做 router/health/budget,R6
CI-P1-001,P1 高,CI,CI 仅 workflow_dispatch，当前提交没有自动状态,ci.yml 不监听 push/pull_request；只 Ubuntu；无覆盖率、安全/打包/端到端,回归可直接进入 main；最近提交历史显示多个关键流程缺陷曾漏过,启用 PR/push CI；Ubuntu+Windows+macOS；format/build/unit/integration/security/package；保护 main,R0
TEST-P1-001,P1 高,测试,“E2E”大多是内存模拟，不能验证真实 CLI/API/SQLite/Git,EndToEndTests 手工构造 indexedFiles；Benchmark 测试 pretend；单一 Tests 项目引用所有模块,测试数量高但对真实闭环信心不足,拆 Unit/Integration/Contract/Security/E2E；进程级运行 CLI/Desktop；临时 Git 仓库与 SQLite；测试真实 JSON 契约,R0-R4
INSTALL-P1-001,P1 高,安装,安装脚本在测试失败后继续发布,install.ps1 输出 Warning 并继续；构建/测试输出被完全吞掉,用户可能安装已知失败版本，排障困难,默认测试失败即终止；提供 --skip-tests 明确危险开关；保留日志；按 RID 发布并校验文件,R0
ARCH-P2-001,P2 中,架构,Core 承载 Gateway/Provider/Semantic/LSP/Ecosystem/Benchmark,src/CacheHub.Core 包含大量可选和运行时模块,职责与变化半径过大，违背“可选模块独立关闭”,保留 Core.Contracts/Domain；将 Gateway、Providers、Semantic、LSP、Benchmarks、Ecosystem 拆成独立项目/进程,R6
ARCH-P2-002,P2 中,依赖,Indexing 直接依赖 Storage，Context 再传递依赖 Storage,CacheHub.Indexing.csproj 引用 Storage；Context 引用 Indexing,领域算法难独立测试/替换，插件边界模糊,抽象 IIndexStore/IFileCatalog 在 contracts；存储适配器在 composition root 注入,R1
PARSE-P2-001,P2 中,解析器,Regex Parser 覆盖有限且存在错误分类,CSharp parser 的 record 被识别为 Other；call regex 会匹配声明/control；方法/泛型/构造器覆盖不足,Outline 和启发式关系噪声高,明确标注 regex-baseline；接入 Tree-sitter；建立每语言 fixture corpus；关系附 confidence/source,R2
WATCH-P2-001,P2 中,Watcher,FileWatcher 未接入索引任务且 Rename 丢旧路径,仅有类，无应用服务使用；Renamed 只保存新路径；队列无上限,不会产生增量更新；重命名可能残留旧记录,Watcher 只作为加速信号接入 IndexCoordinator；保存 old/new；队列溢出触发 reconcile,R1
FTS-P2-001,P2 中,FTS5,自然语言查询未转义且 Recall 不使用 FTS,Fts5Index 直接 MATCH $query；Context Recall 未调用 FTS,特殊符号可抛语法异常；搜索能力与核心选择脱节,实现 QueryCompiler，支持 literal/prefix；返回 BM25/命中行；RecallSource.FullText 接入,R1
WORK-P2-001,P2 中,Workspace,导入不校验目录、重复根路径或状态迁移,Workspace.Create 仅 GetFullPath；API/CLI 直接 Insert；状态 enum 无状态机方法,无效路径/重复工作区、状态漂移,WorkspaceService 验证存在/可读、RootPathHash 唯一、状态转换规则和审计,R1
DATA-P2-001,P2 中,数据库,context_packages 缺少工作区/快照外键,Migration0003 只有 TEXT 字段和普通索引,孤儿 Context Package 可以长期存在，随机 SnapshotId 不会被发现,Schema v2 增加 FK 或显式 snapshot history retention；迁移前清理孤儿,R1
CACHE-P2-001,P2 中,缓存,缓存多为内存模型，未形成跨会话统一缓存,LruCache、ContextPackageCache、InMemoryVectorStore 各自独立；未持久化/未统一依赖 hash,与产品“本地跨会话缓存”目标有差距,实现 CacheStore 接口和 SQLite/blob 后端；按类型独立配额；来源/命中原因可解释,R6
SEM-P2-001,P2 中,Semantic,Semantic 仅接口和内存向量表,无 Embedding Provider、持久化、失效、维度校验或安全策略,不能视为已完成能力,保持 capability=false；核心评测通过后再做 Optional Semantic,R7
LSP-P2-001,P2 中,LSP,LSP 生命周期是伪实现,Initialize 直接 State=Ready；无进程、framing reader、请求关联、sandbox,能力模型存在但实际不可用；未来若误开启会虚假 Ready,保持 capability=false；独立高风险模块，先做审批/沙箱/进程监管，再做协议,R8
ECO-P2-001,P2 中,生态/企业,插件、团队、企业、更新仅为 DTO,EcosystemModels.cs 无签名验证、加载器、策略执行、同步或 updater,文件存在不等于功能完成,标记 future contract only；不得在 README 宣称；等 1.0 核心稳定后实施,R9
DOC-P2-001,P2 中,文档治理,状态文档互相矛盾且 README 过度声明,AI_DEV_STATE 称 ENHANCED 全门通过；ROADMAP_STATUS 仍称 P01/后续未开始；README 声称增量、9 维、SSE、真实场景,开发 AI 和用户会基于错误状态继续开发或误判成熟度,从单一 roadmap YAML 生成状态和 README feature matrix；功能分 Implemented/Experimental/Scaffold/Planned,R0
VERSION-P2-001,P2 中,版本,版本号在多个位置漂移,Directory.Build.props 0.2.0；HTML 显示 0.1.0-beta；文档/能力手写 0.2.0,客户端缓存/兼容判断不可靠,由 AssemblyInformationalVersion 单一来源生成 API/UI/CLI 版本,R0
GUI-P2-001,P2 中,GUI,GUI 没有索引任务、审批、进度和错误恢复闭环,导入仅注册，Context Build 假定已有索引；Export endpoint 仍写 placeholder repomap,不符合“无需命令行开箱即用”,在安全修复后加入 Index Job、状态页、审批中心、Context Preview、回滚与清理,R3
DETECT-P2-001,P2 中,项目检测,探测逻辑过度简化且可能全树扫描,DotNet 一律 Framework=ASP.NET Core；Node DetectLanguage 使用 AllDirectories；无权限/ignore/文件数限制,误报、性能问题、Monorepo 不准确,基于触发文件解析 JSON/XML/TOML；按组件边界扫描；证据和 confidence；未知框架不猜,R3
CONFIG-P2-001,P2 中,配置,配置没有 Schema 校验、权限加固或凭据引用,ConfigManager 直接反序列化；Gateway key 仍 CLI 参数；无文件权限设置,无效配置可能导致危险 host/预算；凭据泄漏,JSON Schema+版本迁移+原子 fsync；系统凭据库；Unix 0600/Windows ACL,R0-R5
FEEDBACK-P2-001,P2 中,反馈,CLI --id 与反馈 JSON 内 ContextPackageId 不校验,FeedbackAsync 保存 parsed feedback，但输出使用命令行 ctxId,反馈可能错误归属，污染评测数据,强制一致；验证 Context 存在和 Workspace；记录 client/version/model/run id,R3
EXPORT-P2-001,P2 中,导出,ExportToRepository 自动修改 .gitignore，没有审批对象,方法注释说 opt-in，但内部直接 AppendAllText,.gitignore 属于用户仓库，违反默认不修改项目,拆 Plan/Apply；默认只输出建议；用户审批后原子修改并备份,R3
PAYLOAD-P2-001,P2 中,Payload,Payload 与 Manifest 可能不一致且缺少完整校验字段,PayloadGenerator 重新分块，使用 ContextTarget 作为每文件预算；不按 Manifest ranges 统一生成；PayloadItem 无 hash/token/reason,Manifest 预算与实际 Payload Token 可不同，难复现,Selection 直接产生 immutable payload plan；Payload 只物化计划；每项含 hash/range/tokens/encoding/checksum,R2
PERF-P2-001,P2 中,性能,多处同步/全量读取与无上限操作,Desktop File.ReadAllText；Node AllDirectories；Directory/FTS 大内容；API 无文件大小限制,大型仓库卡顿、内存高、请求阻塞,异步流式、文件上限、分页、批量 DB、后台任务和取消,R1-R3
